Species,Order,Bodymass,Longevity,Gestationength
Erethizon_dorsatum,Rodentia,7419.46,18,210.99
Coendou_prehensilis,Rodentia,4116.2,27,203
Dinomys_branickii,Rodentia,12500,13,253
Lagidium_peruanum,Rodentia,1220,19.5,140
Lagidium_viscacia,Rodentia,1539.99,19.5,134
Chinchilla_chinchilla,Rodentia,499.99,17.5,111
Chinchilla_lanigera,Rodentia,480.28,10,111
Lagostomus_maximus,Rodentia,4660.94,9.4,154
Octodontomys_gliroides,Rodentia,155.77,7.33,104
Spalacopus_cyanus,Rodentia,100.86,6,80
Octodon_degus,Rodentia,203.27,8,90
Ctenomys_talarum,Rodentia,140.84,1.75,102
Hoplomys_gymnurus,Rodentia,281.42,7,60
Myocastor_coypus,Rodentia,6361.55,6,131
Plagiodontia_aedium,Rodentia,1268.86,9.92,119
Geocapromys_ingrahami,Rodentia,733.52,6,117
Geocapromys_brownii,Rodentia,1497.48,8.3,123
Capromys_pilorides,Rodentia,5200,11.3,125
Cuniculus_paca,Rodentia,8172.55,12.5,116
Cuniculus_taczanowskii,Rodentia,8999.95,12.5,130
Myoprocta_acouchy,Rodentia,954.87,10,99
Dasyprocta_fuliginosa,Rodentia,3500.02,18,120
Dasyprocta_leporina,Rodentia,3009.99,17.8,112
Dasyprocta_punctata,Rodentia,2309.12,10,112
Dolichotis_patagonum,Rodentia,8000,14,85
Kerodon_rupestris,Rodentia,799.15,11,75
Hydrochoerus_hydrochaeris,Rodentia,49144.91,12,150
Microcavia_australis,Rodentia,261.49,8,54.91
Cavia_aperea,Rodentia,524.38,10,63
Cavia_porcellus,Rodentia,727.99,14,68
Galea_musteloides,Rodentia,386.64,3.3,54
Galea_spixii,Rodentia,360.61,4.5,53
Thryonomys_swinderianus,Rodentia,3750.85,4.3,155
Heterocephalus_glaber,Rodentia,39.36,31,70
Georychus_capensis,Rodentia,188.36,3,44
Cryptomys_hottentotus,Rodentia,75.13,11,81
Atherurus_macrourus,Rodentia,2000,20,110
Hystrix_brachyura,Rodentia,8000,27,112
Hystrix_indica,Rodentia,14298.6,27.1,113
Hystrix_africaeaustralis,Rodentia,14936.02,15,94
Hystrix_cristata,Rodentia,13406.27,28,66
Atherurus_africanus,Rodentia,2875.65,22.9,106
Ctenodactylus_gundi,Rodentia,288.41,5.8,74
Glirulus_japonicus,Rodentia,62.99,6,30
Glis_glis,Rodentia,128.09,8.7,25
Muscardinus_avellanarius,Rodentia,29.19,6,23
Dryomys_nitedula,Rodentia,29.5,5.5,28
Eliomys_quercinus,Rodentia,114.61,5.5,23
Graphiurus_murinus,Rodentia,20.07,5.9,24
Aplodontia_rufa,Rodentia,806.21,6,29
Glaucomys_sabrinus,Rodentia,137.53,13,40
Glaucomys_volans,Rodentia,71.9,19,40
Petaurista_leucogenys,Rodentia,1150,19.2,74
Petaurista_petaurista,Rodentia,1533.84,16,45
Pteromys_volans,Rodentia,143.09,3.8,30
Trogopterus_xanthipes,Rodentia,744.94,12,80
Tamiasciurus_hudsonicus,Rodentia,200.24,9,37
Sciurus_griseus,Rodentia,703.85,10,44
Sciurus_aberti,Rodentia,622.95,7,43
Sciurus_granatensis,Rodentia,318.44,11.5,60
Sciurus_variegatoides,Rodentia,485,23,46
Sciurus_carolinensis,Rodentia,545.4,23.5,44
Sciurus_niger,Rodentia,761.9,18,44
Sciurus_vulgaris,Rodentia,333,12,38
Tamias_sibiricus,Rodentia,94.16,10,35
Tamias_minimus,Rodentia,42.87,10,30
Tamias_merriami,Rodentia,74.77,5,33.37
Tamias_amoenus,Rodentia,50.63,5,30
Tamias_townsendii,Rodentia,79.12,7,28
Tamias_dorsalis,Rodentia,63.66,12.6,30
Tamias_palmeri,Rodentia,60.74,4,33.21
Tamias_ruficaudus,Rodentia,60.06,8,31
Tamias_striatus,Rodentia,111.91,8,31
Marmota_caudata,Rodentia,4350,15,30.74
Marmota_bobak,Rodentia,5500,15,40
Marmota_flaviventris,Rodentia,3709.73,15,30
Marmota_vancouverensis,Rodentia,5232.43,12.1,30
Marmota_caligata,Rodentia,2253.71,12.1,29
Marmota_broweri,Rodentia,3405,15,42
Marmota_marmota,Rodentia,4059.15,18,35
Marmota_monax,Rodentia,3880.93,10,32
Spermophilus_citellus,Rodentia,395.97,6.7,27
Cynomys_ludovicianus,Rodentia,797.05,8.5,30
Ammospermophilus_harrisii,Rodentia,126.57,11,30
Ammospermophilus_leucurus,Rodentia,103.92,5.8,29
Xerus_erythropus,Rodentia,602.23,6,71
Xerus_inauris,Rodentia,572.6,11.5,45
Callosciurus_prevostii,Rodentia,400,21.1,48
Geomys_pinetis,Rodentia,201.15,2,50
Geomys_bursarius,Rodentia,203.75,7.2,51
Orthogeomys_cavator,Rodentia,650,6,20
Pappogeomys_bulleri,Rodentia,150,5,20
Thomomys_talpoides,Rodentia,104.64,6,28
Thomomys_bottae,Rodentia,122.7,4.8,19
Chaetodipus_fallax,Rodentia,19.19,6,25
Chaetodipus_nelsoni,Rodentia,15.53,2.5,30
Chaetodipus_formosus,Rodentia,20.02,5,28
Perognathus_fasciatus,Rodentia,11.29,1.17,29.8
Perognathus_flavus,Rodentia,7.97,5,26
Perognathus_flavescens,Rodentia,9.21,2,26
Perognathus_amplus,Rodentia,11.97,10,28
Perognathus_longimembris,Rodentia,8.07,8.33,22
Perognathus_parvus,Rodentia,21.56,5.8,24
Dipodomys_merriami,Rodentia,37.91,9.7,28
Dipodomys_ordii,Rodentia,50.4,9.8,29
Dipodomys_heermanni,Rodentia,63.08,8.3,31
Dipodomys_deserti,Rodentia,107.63,8,30
Dipodomys_spectabilis,Rodentia,124.61,12.7,23
Castor_fiber,Rodentia,19000,13.7,105
Castor_canadensis,Rodentia,18124.41,20,128
Pedetes_capensis,Rodentia,2549.25,13,80
Sicista_betulina,Rodentia,8.92,3.33,31
Jaculus_orientalis,Rodentia,138.26,6,35
Jaculus_jaculus,Rodentia,59.8,6.4,38
Allactodipus_bobrinskii,Rodentia,65.3,3,35
Allactaga_elater,Rodentia,59,5.2,30
Napaeozapus_insignis,Rodentia,22.25,4,29
Zapus_princeps,Rodentia,27.2,6,19
Zapus_hudsonius,Rodentia,18.43,5,19
Calomyscus_bailwardi,Rodentia,21.38,9.75,35
Hypogeomys_antimena,Rodentia,1175.93,12.6,120
Mystromys_albicaudatus,Rodentia,86.85,6,38
Cricetomys_gambianus,Rodentia,1267.52,7,34
Saccostomus_campestris,Rodentia,50.33,2.8,21
Dendromus_melanotis,Rodentia,9.1,4.2,25
Acomys_russatus,Rodentia,42.35,5,34
Acomys_cahirinus,Rodentia,41.16,4,38
Pachyuromys_duprasi,Rodentia,47.5,7,20
Psammomys_obesus,Rodentia,102.15,3.5,24
