Iteration	Posterior	Likelihood	Prior	q_01	q_10	root_frequencies[1]	root_frequencies[2]
0	-45.50353	-48.11207	2.608542	0.0499866	0.08331243	0.771117	0.228883
1	-48.86337	-52.0498	3.186437	0.07214764	0.02999293	0.543953	0.456047
2	-46.6377	-50.42235	3.784653	0.03785588	0.02999293	0.627644	0.372356
3	-46.44656	-50.3365	3.889946	0.03785588	0.02593582	0.918671	0.0813287
4	-48.40225	-52.10614	3.70389	0.05019099	0.02400668	0.14501	0.85499
5	-46.98514	-50.83858	3.853437	0.03283956	0.03175152	0.469522	0.530478
6	-47.38247	-51.00661	3.624138	0.05139132	0.02608708	0.469464	0.530536
7	-46.3416	-49.90126	3.559665	0.03626939	0.04171205	0.565625	0.434375
8	-46.8247	-50.42081	3.596105	0.04097356	0.03528967	0.382096	0.617904
9	-46.56463	-49.47598	2.911354	0.05684884	0.05576087	0.382096	0.617904
10	-45.73827	-48.93141	3.193139	0.04100136	0.05629408	0.731133	0.268867
11	-45.76874	-48.18275	2.41401	0.05805546	0.08725524	0.69396	0.30604
12	-45.88072	-48.25329	2.372566	0.06057137	0.08725524	0.69396	0.30604
13	-45.85569	-48.43169	2.576001	0.03659357	0.1054769	0.217124	0.782876
14	-45.51949	-48.4964	2.976912	0.03659357	0.07600026	0.873341	0.126659
15	-45.67872	-47.97625	2.297527	0.04831745	0.109038	0.188832	0.811168
16	-45.96534	-48.58494	2.619602	0.0327685	0.1088102	0.811168	0.188832
17	-45.86939	-48.46334	2.59395	0.03388153	0.1088102	0.949471	0.0505287
18	-45.82054	-48.45875	2.638215	0.03388153	0.105328	0.949471	0.0505287
19	-46.81325	-49.00976	2.19651	0.02732204	0.1558382	0.252739	0.747261
20	-45.82676	-48.02658	2.199822	0.04263778	0.125768	0.600662	0.399338
21	-45.98681	-48.30929	2.322482	0.03670324	0.125768	0.970978	0.0290218
22	-45.70641	-48.34526	2.638847	0.03670324	0.1004205	0.611703	0.388297
23	-45.80696	-48.47412	2.667164	0.03670324	0.09825471	0.250266	0.749734
24	-46.1583	-49.03123	2.87293	0.028748	0.09676285	0.749734	0.250266
25	-45.60501	-48.2765	2.671492	0.03741461	0.09676285	0.760986	0.239014
26	-45.66028	-48.1484	2.488121	0.04658606	0.09676285	0.185691	0.814309
27	-45.8194	-47.86024	2.040841	0.05410069	0.1214451	0.134893	0.865107
28	-46.07709	-47.8551	1.778005	0.05410069	0.1436778	0.129132	0.870868
29	-46.28646	-48.02986	1.7434	0.06989609	0.1249445	0.501129	0.498871
30	-45.8415	-47.77905	1.937556	0.05768767	0.1249445	0.641301	0.358699
31	-46.48001	-47.93436	1.454349	0.06740942	0.1530239	0.0573344	0.942666
32	-47.97626	-49.00332	1.027067	0.09755915	0.1530239	0.415142	0.584858
33	-47.6222	-49.67577	2.053573	0.0834185	0.0854656	0.274888	0.725112
34	-45.48554	-48.12271	2.637165	0.04679279	0.0854656	0.682378	0.317622
35	-45.40523	-48.17921	2.773976	0.03981705	0.0854656	0.953396	0.0466037
36	-45.5982	-48.24217	2.643964	0.04643051	0.0854656	0.434537	0.565463
37	-45.67524	-47.93039	2.255151	0.04370908	0.1194684	0.881232	0.118768
38	-46.18224	-48.10659	1.92435	0.04370908	0.1475	0.3555	0.6445
39	-46.2278	-48.71012	2.48232	0.03189226	0.1215562	0.59103	0.40897
40	-46.04462	-48.4609	2.416275	0.03475698	0.1215562	0.690712	0.309288
41	-45.96924	-49.48112	3.511886	0.03247019	0.04870103	0.87908	0.12092
42	-45.92857	-49.13676	3.20819	0.04877677	0.04702986	0.914267	0.085733
43	-45.97196	-49.36545	3.393492	0.03775114	0.04873277	0.686898	0.313102
44	-45.77917	-48.94022	3.161052	0.0319194	0.07073593	0.829689	0.170311
45	-46.10351	-49.26947	3.165956	0.03098617	0.07189427	0.43036	0.56964
46	-45.61432	-48.34998	2.735651	0.0521402	0.07189427	0.861183	0.138817
47	-45.78362	-48.86897	3.085358	0.04803539	0.05465538	0.838828	0.161172
48	-45.87159	-49.19289	3.321301	0.03975946	0.05039436	0.724816	0.275184
49	-46.23259	-49.62331	3.390725	0.03870117	0.04779265	0.4764	0.5236
50	-45.6903	-48.93666	3.246361	0.03225336	0.06469585	0.990407	0.0095932
51	-45.37312	-48.1317	2.75858	0.04607489	0.0778495	0.971681	0.028319
52	-45.71688	-48.19445	2.477572	0.04324617	0.1024744	0.0588769	0.941123
53	-45.59482	-47.82312	2.228301	0.0466527	0.1170714	0.972952	0.027048
54	-45.82529	-47.77087	1.945587	0.0603287	0.1206804	0.968369	0.0316313
55	-45.83443	-47.78002	1.945587	0.0603287	0.1206804	0.906261	0.0937387
56	-46.44946	-48.16314	1.713677	0.04553034	0.1630913	0.0911392	0.908861
57	-47.23674	-48.2481	1.011358	0.06464922	0.1975824	0.823376	0.176624
58	-46.22705	-47.90521	1.678162	0.06555561	0.136077	0.137611	0.862389
59	-48.68342	-50.08742	1.403994	0.1039444	0.1140831	0.882611	0.117389
60	-45.90926	-47.96299	2.053725	0.04459702	0.1348488	0.882611	0.117389
61	-45.52171	-48.11073	2.589023	0.04459702	0.09203321	0.555692	0.444308
62	-45.47788	-48.19814	2.720259	0.03808749	0.09203321	0.973044	0.0269559
63	-46.93198	-50.22672	3.294735	0.0249599	0.07376018	0.089726	0.910274
64	-46.1218	-49.5149	3.393099	0.03370198	0.0537697	0.555832	0.444168
65	-45.98285	-48.9191	2.936254	0.03217305	0.08588161	0.364867	0.635133
