Pollinator,L.w_ratio,Length,Width,P1,P2,P3,P4,Selfing
hummingbird,8.02,3.196,0.398,1,0,0,0,0
hummingbird,8.82,1.734,0.197,1,0,0,0,0
autogamous,5.16,0.818,0.158,0,0,0,0,1
autogamous,5.38,0.518,0.096,0,0,0,0,1
autogamous,4.99,0.213,0.043,0,0,0,0,1
hummingbird,6.79,1.547,0.228,1,0,0,0,0
beefly,4.69,0.65,0.139,0,0,1,0,0
autogamous,5.13,0.571,0.111,0,0,0,0,1
bees and beefly,5.98,0.685,0.115,0,0,1,1,0
autogamous,3.49,0.456,0.131,0,0,0,0,1
autogamous,3.16,0.432,0.137,0,0,0,0,1
bees,6.83,1.598,0.234,0,0,0,1,0
hummingbird,7.26,6.764,0.932,1,0,0,0,0
hummingbird,6.58,6.764,0.932,1,0,0,0,0
hummingbird and hawkmoth,6.68,3.295,0.493,1,1,0,0,0
bat,1.11,2.209,1.99,0,0,0,0,0
bat,4.38,5.936,1.356,0,0,0,0,0
hummingbird,2.26,3.677,1.625,1,0,0,0,0
autogamous,2.05,4.719,2.307,0,0,0,0,1
hummingbird,2.13,4.349,2.043,1,0,0,0,0
hawkmoth,8.69,5.261,0.606,0,1,0,0,0
autogamous,2.44,5.659,2.322,0,0,0,0,1
bat,1.13,3.981,3.531,0,0,0,0,0
bat,1.74,6.063,3.494,0,0,0,0,0
generalist,5.16,1.515,0.293,0,0,1,1,0
autogamous,6.89,0.876,0.127,0,0,0,0,1
autogamous,5.04,0.553,0.11,0,0,0,0,1
beefly,3.92,1.308,0.334,0,0,1,0,0
hummingbird,5.49,2.671,0.487,1,0,0,0,0
autogamous,7.29,0.581,0.08,0,0,0,0,1
"butterflies, bees and beeflies",3.43,1.204,0.212,0,0,1,1,0
bees and beefly,5.68,1.204,0.212,0,0,1,1,0
beefly,3.38,0.906,0.268,0,0,1,0,0
bee and beefly,3.33,0.69,0.207,0,0,1,1,0
bees,3.68,1.066,0.29,0,0,0,1,0
